gen,description,te_class_suzukii
glcat-s,Glucuronyltransferase,DNA/MITE
cg31882,,DNA/MITE
pka-c1,Protein kinase%2C cAMP-dependent%2C catalytic subunit,DNA/RC
hoip,,LTR/Gypsy
pelo,,LTR/Gypsy
cg31710,,LTR/Gypsy
cg4364,,LTR/Gypsy
zf30c,zinc finger protein,DNA/RC
taf11,TBP-associated factor,DNA/RC
und,,DNA/RC
ppk18,pickpocket,DNA/RC
cg4017,,DNA/RC
cg17633,,DNA/RC
ppk11,pickpocket,DNA/RC
ppk16,pickpocket,DNA/RC
lncrna:cr43766,long non-coding,LTR/Gypsy
fkbp59,FK506-binding protein,DNA
cg34183,,DNA
cg4537,,DNA
mtdna-helicase,mitochondrial DNA,DNA
uhg2,U snoRNA host gene,DNA
snorna:u14:30eb,,DNA
bka,,DNA
rps2,Ribosomal protein,DNA
cg8460,,DNA
asrna:cr44116,antisense,DNA
cg8475,,DNA
piezo,,DNA
snrna:u2:34aba,,DNA/RC
naa20b,N(alpha)-acetyltransferase 20,DNA/RC
cg31730,,DNA/RC
drep4,DNA fragmentation factor-related protein,DNA
asrna:cr44083,antisense,DNA
uvrag,UV-resistance associated,DNA
asrna:cr44972,antisense,DNA
cg16826,,LTR/Gypsy
cg9395,,DNA
cg9377,,DNA
nnp-1,,DNA
grx3,Glutaredoxin,DNA
tap42,Two A-associated protein of,DNA
cg31855,,DNA
nd-b22,NADH dehydrogenase (ubiquinone) B22,DNA
bdp1,B double prime,DNA
cg6565,,DNA/MITE
cg9302,,DNA/MITE
beta'cop,Coat Protein (coatomer),DNA/MITE
loqs,,DNA/MITE
asrna:cr44599,antisense,DNA/MITE
ing5,Inhibitor of growth family member,DNA/MITE
cg7099,,DNA/MITE
lncrna:cr44973,long non-coding,DNA
lncrna:cr43410,long non-coding,DNA
ics,,DNA
cg18507,,DNA
dip-kappa,Dpr-interacting protein,LINE
gpo3,Glycerophosphate oxidase,LTR/Gypsy
cg9014,,DNA
nur,,LINE/I
lncrna:cr45913,long non-coding,DNA
smg5,Smg5 nonsense mediated mRNA decay,DNA/RC
ance,Angiotensin converting,DNA/RC
ance-2,,DNA/RC
acyp,,DNA/RC
ance-3,,DNA/RC
vajk1,,DNA/RC
vajk3,,DNA/RC
nima,Nimrod,LINE
nimb1,Nimrod,LINE
nimb2,Nimrod,LINE
nimb4,Nimrod,LINE
nimb5,Nimrod,LINE
cyp28a5,Cytochrome P450,DNA
nimc2,Nimrod,DNA
rk,,DNA
trna:gln-ctg-4-1,,DNA
la,La,DNA
cg17571,,DNA
lncrna:cr40465,,LINE/I
lncrna:cr40172,long non-coding,LINE
lncrna:cr40341,,DNA
cg13258,,DNA
lncrna:cr44899,long non-coding,LINE/CR1
cyp303a1,Cytochrome P450,LINE/CR1
heix,,LTR
cg17328,,DNA
gmf,Glia maturation,DNA
c(2)m,crossover suppressor on 2 of,DNA
cg5861,,DNA
syx5,Syntaxin,DNA
cni,,DNA
fzy,,DNA
cact,,DNA
cg4278,,DNA/RC
nmd,no mitochondrial,DNA/RC
cg4968,,DNA
cdk5alpha,Cdk5 activator-like,DNA
l(2)sh0834,lethal (2),DNA/RC
usp14,Ubiquitin specific protease,DNA/RC
cg4972,,DNA/RC
cg5381,,DNA/PIFHARBINGER
cg4995,,DNA
schip1,Schwannomin interacting protein,DNA
cox10,Cytochrome c oxidase assembly factor,DNA
gatad,,DNA
samdc,S-adenosylmethionine,DNA
cg31715,,DNA
sps2,Selenophosphate synthetase,DNA
frmd5,FERM domain,DNA
cg34367,,DNA/RC
clpp,Caseinolytic protease proteolytic,LTR/Gypsy
cand1,Cullin-associated and neddylation-dissociated,LTR/Gypsy
lft,,LINE
cg5056,,LINE
rho-5,,LINE
cg33303,,LINE
dpr19,defective proboscis extension response,LINE
gny,,LINE
cg5096,,DNA/RC
cdk1,Cyclin-dependent kinase,DNA/RC
mrps7,mitochondrial ribosomal protein,DNA/RC
da,,DNA/RC
cnot4,CCR4-NOT transcription complex subunit,LTR/Gypsy
cg17768,dicistronic,LTR/Gypsy
lsm-4,Like Sm protein,LTR/Gypsy
ir31a,Ionotropic receptor,LTR/Gypsy
rps27a,Ribosomal protein,LTR/Gypsy
ip259,Intronic Protein,LTR/Gypsy
cg5355,,LTR/Gypsy
klp31e,Kinesin-like protein at,LTR/Gypsy
rfc3,Replication factor C subunit,DNA/MITE
pie,pineapple,DNA/MITE
wdfy2,WD repeat and FYVE domain containing,DNA/RC
smb,Small ribonucleoprotein particle protein,DNA/RC
kdelr,KDEL,DNA/RC
holn1,,DNA/RC
stub1,STIP1 homology and U-box containing protein,DNA/RC
nse4,Non-SMC element,DNA/RC
lncrna:cr45375,long non-coding,DNA/RC
loh,lonely,DNA/RC
ppk10,pickpocket,DNA/RC
lmani,Lysosomal alpha-mannosidase,DNA/RC
lmanii,Lysosomal alpha-mannosidase,LTR/COPIA
rlua-1,RluA pseudouridine synthase,LTR/COPIA
myo31df,Myosin,LTR/COPIA
asrna:cr44224,antisense,LTR/COPIA
cg6094,,LTR/COPIA
cg7384,,LTR/COPIA
fatp1,Fatty acid transport protein,LTR/Gypsy
lrr47,Leucine-rich repeat,DNA/RC
lncrna:cr44618,long non-coding,DNA
cg6138,,LINE
cg7329,,DNA
lncrna:cr45351,long non-coding,LTR/COPIA
cg17097,,DNA/RC
lncrna:cr44580,long non-coding,DNA/RC
dbf,,DNA/RC
lncrna:cr45692,long non-coding,DNA/MITE
cg31871,,DNA
cg17104,,DNA/RC
lncrna:cr44180,long non-coding,DNA/RC
cg17108,,DNA/RC
lip1,Lipase,DNA/RC
lip2,Lipase,DNA/RC
cg6415,,DNA/RC
cg6431,,LINE/I
cg17118,,DNA
emc3,ER membrane protein complex subunit,DNA
dpy-30l1,Dpy-30-like,DNA
nup107,Nucleoporin,DNA
cg12299,,DNA
cg6729,,DNA
cg17124,,LINE
cg6495,,LINE/I
ubc2,Ubiquitin conjugating enzyme,LINE/I
cg6724,,DNA
cg17127,,DNA
cg31869,,DNA
nos,Nitric oxide,LTR
cg6508,,LTR
cg17134,,LTR
cg6700,,DNA/RC
mir-4987,mir-4987 stem,DNA/RC
porin2,,DNA/RC
porin,,DNA/RC
lncrna:cr44491,long non-coding,DNA/P
cg14070,,DNA/P
lncrna:cr45724,long non-coding,LINE
cg14069,,DNA/RC
cg9150,,LTR/COPIA
rpl9,Ribosomal protein,LINE/R1
nup154,Nucleoporin,LINE/R1
art8,Arginine methyltransferase,LINE/R1
asrna:cr46264,antisense,DNA
cg14915,,DNA
lncrna:cr45725,long non-coding,DNA
cg43725,,DNA
astc,Allatostatin,DNA
astcc,Allatostatin double,DNA/RC
cg16854,,DNA/RC
wdr59,WD repeat domain,LINE/I
ge-1,,LINE/I
reps,RALBP1 associated Eps domain,LINE/I
l(2)gd1,lethal (2) giant discs,LINE/I
cg4751,,DNA/RC
hgo,homogentisate,DNA/RC
gyc32e,Guanylyl cyclase at,DNA/RC
cg6287,,DNA
ca-beta,,LTR/Gypsy
boh2,Buddy of Hmr,LINE
cmet,,LINE
cana,,DNA/RC
cg33695,,DNA
asrna:cr44182,antisense,DNA
ppt2,Palmitoyl-protein Thioesterase,DNA
mre11,meiotic recombination,LTR/Gypsy
osi21,Osiris,LTR/Gypsy
lncrna:cr43409,long non-coding,LTR/Gypsy
lncrna:cr44584,long non-coding,DNA/RC
lncrna:cr44585,long non-coding,DNA/RC
lncrna:cr44586,long non-coding,DNA
salr,,DNA
salm,spalt,LINE/I
cog8,Component of oligomeric golgi complex,LINE
spz4,spatzle,LINE
dlg5,Discs large,LINE
cg31705,,DNA/RC
cg4988,,LTR
lncrna:cr44145,long non-coding,DNA
vha100-5,Vacuolar H[+] ATPase 100kD subunit,DNA
asrna:cr44144,antisense,DNA
cg14931,,LTR/Gypsy
tsp33b,Tetraspanin,LTR/Gypsy
cg14937,,LTR/Gypsy
crol,crooked,LTR/Gypsy
cycy,Cyclin,DNA
esc,extra,LINE/I
lncrna:cr45013,long non-coding,DNA/RC
lncrna:cr45014,long non-coding,DNA/RC
lncrna:cr43937,long non-coding,LINE/L2
asrna:cr43936,antisense,DNA
mal-b1,Maltase,DNA/RC
mal-b2,Maltase,DNA/RC
or33b,Odorant receptor,LTR/Gypsy
or33c,Odorant receptor,LTR/Gypsy
crys,,LINE/I
lncrna:cr43314,long non-coding,DNA/RC
mir-bft,,DNA/RC
cg16965,,LINE/I
cg6686,,LINE/I
zuc,,LTR/Gypsy
dgt2,dim gamma-tubulin,LTR/Gypsy
escl,,LTR/Gypsy
lncrna:cr44588,long non-coding,DNA/PIFHARBINGER
wdr81,WD repeat domain,DNA/PIFHARBINGER
lncrna:cr44587,long non-coding,DNA/PIFHARBINGER
dmglut,Dietary and metabolic glutamate,DNA/PIFHARBINGER
cg18788,,LINE/I
tom70,Translocase of outer membrane,LINE/I
cg6766,,LINE/I
asrna:cr46070,antisense,LINE/I
cg6785,,LINE/I
cg6770,,LINE/I
plzf,Promyelocytic leukemia zinc,LINE/I
plcxd,Phosphatidylinositol-specific phospholipase C X domain,LINE
jhi-21,Juvenile hormone,LINE
asrna:cr44592,antisense,DNA
lncrna:cr44593,long non-coding,DNA
pex19,Peroxin,DNA
lncrna:cr44594,long non-coding,DNA
cg6712,,DNA
mt2,Methyltransferase,DNA
ced-12,,DNA
thrrs,Threonyl-tRNA,LTR
rab6,,LTR
phae1,Phaedra,LTR
cg17211,,LTR
rho-6,,DNA/RC
gr33a,Gustatory receptor,DNA/RC
cg31760,,DNA/RC
cg6583,,DNA/RC
crok,,DNA/RC
atilla,,DNA
bru1,bruno,LTR/Gypsy
cg31759,,DNA
lncrna:cr45282,long non-coding,DNA/RC
lncrna:cr45283,long non-coding,DNA/RC
pkd2,Polycystic kidney disease,DNA
vir-1,virus-induced RNA,DNA/RC
fam92,,DNA/MITE
cg5446,,DNA
trm1,tRNA methyltransferase,LINE
cg5435,,DNA/MITE
sc35,SR family splicing factor,DNA
erf3,eukaryotic translation release factor,DNA
oatp33ea,Organic anion transporting polypeptide,DNA
cg5421,,DNA/RC
oatp33eb,Organic anion transporting polypeptide,DNA/RC
cg43051,,DNA
lncrna:cr44596,long non-coding,DNA
lncrna:cr44595,long non-coding,DNA
nub,,DNA
ref2,RNA and export factor binding protein,DNA/RC
pdm2,POU domain protein,DNA/RC
nepl7,Neprilysin-like,LTR/COPIA
cct4,Chaperonin containing TCP1 subunit,DNA
cg6153,,DNA
ift43,Intraflagellar transport,DNA
pick1,Protein interacting with C kinase,DNA
cg5781,,DNA
cg17036,,LINE/CR1
cg5776,,LINE/CR1
spict,,LINE/CR1
cg6180,,LINE/CR1
cg5787,,DNA
pk34a,Protein kinase at,DNA
kmg,,DNA
lncrna:cr43818,long non-coding,DNA/RC
kek1,kekkon,LINE
lncrna:cr44970,long non-coding,LTR/Gypsy
lncrna:cr44971,long non-coding,LTR/Gypsy
acxb,Adenylyl cyclase X,DNA/RC
vm26aa,Vitelline membrane,DNA/RC
acxc,Adenylyl cyclase X,DNA/RC
cg16800,,LINE/I
vha68-1,Vacuolar H[+] ATPase 68kD subunit,DNA
mtor,mechanistic Target of,DNA
ugt37b1,UDP-glycosyltransferase family 37 member,DNA/RC
ube4b,Ubiquitination factor,DNA/RC
cg9933,,LINE/CR1
lncrna:cr44197,long non-coding,DNA/P
lncrna:cr45447,long non-coding,DNA/RC
lncrna:cr45461,long non-coding,DNA/RC
ttc30,Tetratricopeptide repeat domain,DNA
cg43050,,LTR/Gypsy
lncrna:cr44199,long non-coding,DNA/RC
dnaj-h,DnaJ,DNA/RC
sirt1,Sirtuin,DNA/RC
sfmbt,Scm-related gene containing four mbt,DNA/RC
alg7,Alg7 dolichyl-phosphate,DNA
mgat3,beta-1%2C4-mannosyl-glycoprotein,DNA
rsph1,Radial spoke head protein,DNA
cg16974,,DNA
cg8668,,DNA
cg12375,,DNA/RC
mon2,monensin sensitivity,DNA/RC
bsg,,DNA/RC
mcr,Macroglobulin,LTR/COPIA
asrna:cr45257,antisense,LTR/COPIA
trf,TBP-related,DNA/RC
poe,purity of,DNA/RC
megf8,Multiple EGF like domains,DNA
rpl36a,Ribosomal protein,DNA
snorna:psi28s-2648,,DNA
ccdc53,Coiled-coil domain containing,DNA
sirup,Starvation-upregulated,DNA
cg7227,,DNA
asrna:cr44996,antisense,DNA
cg34132,,LINE/I
sme,Small ribonucleoprotein particle protein,LINE/I
cg7102,,LINE/I
spz3,spatzle,DNA/RC
trna:gly-gcc-1-3,,LTR/Gypsy
lncrna:cr45364,long non-coding,LTR/Gypsy
proc,,DNA/RC
twdle,,DNA/RC
lectin-28c,,DNA/RC
cg14535,,DNA/RC
cg14537,,DNA
mts,microtubule,DNA/PIFHARBINGER
rack1,Receptor of activated protein kinase C,DNA/PIFHARBINGER
cg7115,,DNA/PIFHARBINGER
lanb1,,DNA/RC
cg32984,,DNA/RC
cg32985,,DNA/RC
cg9525,,LTR/Gypsy
cg31886,,LTR/Gypsy
cg46397,,DNA/RC
c1galta,Core 1 Galactosyltransferase,LTR/Gypsy
cg9515,,LTR/Gypsy
argl,Argininosuccinate,LTR/Gypsy
tsp29fb,Tetraspanin,DNA
tsp29fa,Tetraspanin,DNA
asrna:cr46071,antisense,DNA
cg34398,,DNA
lncrna:cr44415,long non-coding,LTR/Gypsy
lncrna:cr44414,long non-coding,DNA/RC
cg9483,,DNA/RC
asrna:cr45260,antisense,DNA/RC
cg32987,,LINE
cg32986,,LINE
soxn,,DNA/MITE
cg45307,,LTR/Gypsy
hnf4,Hepatocyte nuclear factor,DNA/RC
catb,Catalase,DNA/RC
asrna:cr44992,antisense,DNA
trs23,TRAPP subunit,DNA/RC
prbp,Prenyl-binding,DNA
trna:asp-gtc-1-9,,DNA
cg9289,,DNA
cg9287,,LTR/Gypsy
glt,,LTR/Gypsy
trna:asp-gtc-1-6,,DNA/RC
trna:phe-gaa-1-3,,LTR/COPIA
trna:asp-gtc-1-4,,DNA/RC
trna:asp-gtc-1-5,,DNA/RC
cg17834,,DNA/RC
lmga,lemming,DNA/RC
lmgb,lemming,DNA/RC
acer,Angiotensin-converting,LTR/Gypsy
lncrna:cr44986,long non-coding,LTR/Gypsy
gpdh1,Glycerol-3-phosphate dehydrogenase,LTR/Gypsy
uzip,,DNA/PIFHARBINGER
zip,,DNA/PIFHARBINGER
emp,epithelial membrane,DNA
lncrna:cr45252,long non-coding,DNA
cg2736,,DNA
phk-3,Pherokine,DNA
cg3776,,DNA
rpl19,Ribosomal protein,DNA
cg2765,,DNA/PIFHARBINGER
lncrna:cr44830,long non-coding,LTR/COPIA
cg30427,,DNA
pain,,DNA
nacp60e,Na channel protein,DNA
rpl41,Ribosomal protein,DNA
tpc2,Thiamine pyrophosphate carrier protein,DNA
cg9083,,DNA
ance-5,,DNA
nkain,Na%2CK-ATPase,DNA
cg30105,,DNA
icln,,DNA
rhogap54d,Rho GTPase activating protein at,DNA
asrna:cr45275,antisense,DNA
cg14483,,DNA
cg6484,,LINE/I
cg34194,,DNA
cc2d2a,Coiled-coil and C2 domain containing,DNA
eif3b,eukaryotic translation initiation factor 3 subunit,DNA
patronin,,DNA
cg4866,,DNA
apc10,Anaphase Promoting Complex subunit,DNA
cg4853,,DNA
ctsk2,Cathepsin,DNA
cg34193,,DNA
nw,,DNA
qkr54b,quaking related,DNA
tes,,DNA
cg14478,,DNA
robl,,DNA
mthl4,methuselah-like,LINE/CR1
edtp,Egg-derived tyrosine,LTR/Gypsy
cg18467,,DNA
mtap,Methylthioadenosine,DNA
cg6550,,DNA
l(2)k01209,lethal (2),DNA
cnk,connector enhancer of,DNA
prosalpha5,Proteasome alpha5,DNA
lncrna:cr43661,long non-coding,DNA/RC
cg11400,,DNA
cg46491,,DNA
gsts1,Glutathione S transferase,DNA
cg6984,,DNA
sply,Sphingosine-1-phosphate,DNA
cg30460,,LTR/Gypsy
mov10,Mov10 RISC complex RNA,DNA/RC
cg8950,,DNA/RC
fat-spondin,,DNA/RC
cg9646,,DNA/RC
rhogef2,Rho guanine nucleotide exchange factor,DNA/RC
asrna:cr45144,antisense,DNA/RC
cg43327,dicistronic,DNA/RC
cg43328,dicistronic,DNA/RC
asrna:cr44390,antisense,DNA/RC
dark,Death-associated APAF1-related,DNA/RC
gm130,Golgi matrix protein 130,DNA/RC
cg13488,,DNA
cg18735,,LTR
loxl2,Lysyl oxidase-like,LTR
lncrna:cr43984,long non-coding,LTR/Gypsy
cg43982,,LTR/Gypsy
ip6k,Inositol hexakisphosphate,LTR
cg10321,,LTR
cg15674,,LTR
asrna:cr42547,antisense,LTR
mahj,,LTR
lncrna:cr44783,long non-coding,DNA/RC
side-v,sidestep,DNA
cg13539,,DNA
cg13545,,DNA/RC
cg43207,,DNA/RC
klp59d,Kinesin-like protein at,LINE/CR1
gpdh2,Glycerol-3-phosphate dehydrogenase,LINE/I
lncrna:cr44456,long non-coding,LINE/I
klp59c,Kinesin-like protein at,DNA/RC
cg9877,,LTR/COPIA
art7,Arginine methyltransferase,LTR/COPIA
cg3085,,LTR/Gypsy
fib,,LTR/Gypsy
snorna:229,,LTR/Gypsy
trna:ser-tga-2-1,,LTR/Gypsy
trna:ser-tga-1-1,,LTR/Gypsy
l(2)k09913,lethal (2),LTR/Gypsy
cg9890,,LTR
dctn3-p24,Dynactin 3%2C p24,LTR
cg1648,,DNA/RC
lectin-46cb,,DNA/RC
cg1688,,DNA/RC
cg1698,,DNA/RC
asrna:cr44207,antisense,DNA
asrna:cr44205,antisense,DNA
trpl,transient receptor,DNA
cg1690,,DNA
mmp2,Matrix metalloproteinase,DNA
trna:imet-cat-2-1,,DNA
lncrna:cr44070,long non-coding,DNA
lncrna:cr43651,long non-coding,DNA/MITE
mir-14,,DNA/MITE
mad1,Mitotic arrest-deficient,DNA
cog6,Component of oligomeric golgi complex,DNA
cg2063,,DNA
asrna:cr45132,antisense,DNA
pkn,Protein kinase,DNA
cg34141,,DNA
tsen15,tRNA splicing endonuclease subunit,DNA
hig,hikaru,DNA
cyp4p3,Cytochrome P450,DNA
cyp4p1,Cytochrome P450,DNA
cyp4p2,Cytochrome P450,DNA
unpg,,DNA
cg45085,dicistronic,DNA
cg8026,dicistronic,DNA
ana,,LINE/I
cg8170,,DNA
cg13744,,DNA
cg8172,,DNA
np,,DNA
cg8303,,DNA/RC
cg5089,,DNA/RC
cg5065,,DNA/RC
picot,,DNA/RC
cg34457,,DNA/RC
cg34458,,DNA/RC
pgant9,Polypeptide N-Acetylgalactosaminyltransferase,DNA/RC
idgf6,Imaginal disc growth factor,DNA
lncrna:cr43104,long non-coding,DNA
lncrna:cr44464,long non-coding,DNA
cg15617,,DNA
unc-104,,DNA
cg5267,,DNA
cg42392,,DNA
cg5348,,DNA
ints8,Integrator,LTR/Gypsy
fen1,Flap endonuclease,LTR/Gypsy
dek,,LTR/Gypsy
snorna:dek-a,,LTR/Gypsy
psi,P-element somatic,LTR/Gypsy
cg8910,,DNA
cg6472,,DNA
mir-990,mir-990 stem,DNA
inac,inactivation no afterpotential,DNA
pkc53e,Protein C kinase,DNA
lncrna:cr44377,long non-coding,LTR/COPIA
cbp53e,Calbindin,LTR/COPIA
fbxo42,F-box protein,DNA
asrna:cr45151,antisense,DNA
cg11275,,DNA
med16,Mediator complex subunit,DNA/RC
endob,Endophilin,DNA/RC
acadvl,Acyl-CoA dehydrogenase very long,DNA/RC
tab2,TAK1-associated binding protein,DNA
knon,knotted,LINE
cg7848,,DNA
jtb,,DNA
sema2b,Semaphorin,DNA
menl-1,Malic enzyme,DNA
menl-2,Malic enzyme,DNA
cg15711,,DNA
cg6262,,DNA
lncrna:cr45322,long non-coding,DNA/RC
lncrna:cr43416,long non-coding,LTR/Gypsy
cnga,Cyclic nucleotide-gated ion channel subunit,LINE/I
cg15708,,DNA
cg42518,dicistronic,DNA
med9,Mediator complex subunit,DNA
dgp-1,,DNA
clu,,LTR/Gypsy
caly,,LTR/Gypsy
cg44242,,LTR/Gypsy
cg42837,dicistronic,LTR/Gypsy
lipt1,Lipoyltransferase,LTR/Gypsy
shark,SH2 ankyrin repeat,LTR/Gypsy
trna:gln-ctg-1-1,,LTR/Gypsy
trna:glu-ttc-1-2,,DNA/RC
trna:glu-ctc-1-1,,DNA/RC
cg7798,,DNA/RC
asrna:cr43898,antisense,DNA/RC
cg15706,,DNA/RC
tsf3,Transferrin,DNA/RC
cg15701,,DNA/RC
hsf,Heat shock,LINE
dlip3,Dorsal interacting protein,LINE
spn55b,Serpin,LINE
lncrna:cr45314,long non-coding,LTR/Gypsy
cg5084,,DNA
dpr13,defective proboscis extension response,LTR
elk,Eag-like K[+],DNA/MITE
cg14491,,DNA
cg14492,,DNA
ppo1,Prophenoloxidase,DNA
orai,,DNA
olf186-m,,DNA
vps50,Vacuolar protein sorting,DNA
pig-a,Phosphatidylinositol glycan anchor biosynthesis class,DNA
hyccin,,DNA
cg34195,,DNA
cg4975,dicistronic,DNA
cg4984,dicistronic,DNA
snx16,Sorting nexin,DNA
dlish,Dachs ligand with,DNA
cg46315,dicistronic,DNA
cg6424,dicistronic,DNA
swi2,,LTR
hps4,Hermansky-Pudlak Syndrome,LTR
cg42561,,LTR
sema1b,Semaphorin,LTR
ibin,Induced by,DNA/RC
cg30109,,DNA/RC
cg30108,,DNA/RC
eif3c,eukaryotic translation initiation factor 3 subunit,DNA/RC
ccha1-r,CCHamide-1,DNA/RC
cg10936,,LINE/I
rhi,,LINE/I
siat,,DNA
mmp1,Matrix metalloproteinase,DNA
cg34214,,DNA/RC
cyp9c1,Cytochrome P450,DNA/RC
asrna:cr43787,antisense,DNA/RC
cg4741,,LINE
pio,,LINE/CR1
cg4681,,LINE/CR1
sifa,,LINE/CR1
start1,,LINE/CR1
cg3511,,LINE/CR1
fcp1,TFIIF-interacting CTD,LINE/CR1
cg13579,,DNA
cg3494,,DNA
cg3492,,DNA
cg4563,,DNA
cg3483,,DNA/PIFHARBINGER
pgam5-2,Phosphoglycerate mutase,DNA/PIFHARBINGER
cg15873,,DNA/RC
prom,,DNA/RC
cg42383,,DNA/RC
cg13551,,DNA
yellow-d2,,DNA
yellow-d,,DNA
golgin245,,DNA/RC
ice1,Interacts with the C terminus of ELL,LINE/CR1
or59a,Odorant receptor,DNA
cg43795,,LTR/Gypsy
or59b,Odorant receptor,LTR/Gypsy
lncrna:cr43792,long non-coding,LTR/Gypsy
lncrna:cr43793,long non-coding,LTR/Gypsy
cg13558,,DNA/P
pde8,Phosphodiesterase,LTR
st1,Sulfotransferase,LTR/Gypsy
st3,Sulfotransferase,LTR/Gypsy
l(2)efl,lethal (2) essential for,LTR/Gypsy
pal2,Peptidyl-alpha-hydroxyglycine-alpha-amidating lyase,LTR/Gypsy
cg30183,,LTR/Gypsy
nahoda,,DNA
nup214,Nucleoporin,DNA/PIFHARBINGER
reepa,Receptor expression enhancing protein,DNA/PIFHARBINGER
cg3788,,DNA/PIFHARBINGER
cg32834,,LTR/Gypsy
cg9896,,LTR/Gypsy
fatp2,Fatty acid transport protein,DNA/RC
cg44253,,DNA/RC
cg1513,,DNA/RC
etf-qo,Electron transfer flavoprotein-ubiquinone,DNA
lncrna:cr45324,long non-coding,DNA
ter94,Transitional endoplasmic reticulum,DNA
lrr,Leucine-rich,DNA/RC
coq9,Coenzyme,DNA/RC
cg30496,,DNA/RC
cg34216,,DNA/RC
tor,,DNA/RC
gdap2,,LINE/CR1
atg10,Autophagy-related,DNA/RC
cg12822,,DNA/RC
cg30377,,DNA
nd-b14,NADH dehydrogenase (ubiquinone) B14,LTR
cg12942,,LTR
cg30020,,LTR
cg18004,,DNA
mir-1008,mir-1008 stem,DNA
hao,Hydroxyacid,DNA
pex6,Peroxin,DNA
taf5,TBP-associated factor,DNA
nclb,no child left,DNA
cg30015,,LINE/I
ltv1,LTV1 ribosome biogenesis,DNA/RC
alka,,DNA/RC
mat1,Menage a trois,DNA/RC
cg7220,,DNA/RC
lncrna:acal,,DNA
asrna:cr45135,antisense,LINE/I
trsn,,DNA
asrna:cr45134,antisense,DNA
whd,,DNA
cg11777,,DNA
caf1-105,Chromatin assembly factor 1%2C p105,DNA
galphao,G protein alpha subunit,DNA
cyp49a1,Cytochrome P450,DNA
cg12898,,DNA
ir47a,Ionotropic receptor,DNA/P
gr47a,Gustatory receptor,DNA/RC
cg46298,,DNA
ndg,,LINE/CR1
cg34222,,LINE/CR1
obp46a,Odorant-binding protein,DNA/P
cg12909,,DNA/P
rnasez,Ribonuclease,DNA/MAVERICK
cap,,DNA/MAVERICK
lncrna:cr30009,,DNA
cg12911,,DNA
csgalnact,Chondroitin sulfate,DNA
syb,,DNA
cg12914,,DNA
cg12209,,DNA
lncrna:cr46322,long non-coding,LINE
cg34221,,LINE
cg2269,,LINE/CR1
sut4,sugar transporter,LINE/CR1
egr,,LINE/CR1
cg1371,,DNA/RC
cg12920,,DNA/RC
cdc2rk,Cdc2-related,DNA/RC
mrpl42,mitochondrial ribosomal protein,DNA/RC
pig-n,Phosphatidylinositol glycan anchor biosynthesis class,DNA/RC
magu,,DNA/RC
def,,DNA/RC
fem-1,,DNA
cg13437,,DNA
lrt,Leucine-rich tendon-specific,DNA
cg11159,,DNA
cg16799,,DNA
dmap1,DNA methyltransferase 1 associated protein,DNA
mago,mago,LINE
tmtc3,Transmembrane O-mannosyltransferase targeting cadherins,LINE
ktub,king,LINE
cg9394,,DNA/RC
shg,,DNA
cg3216,,DNA/RC
cg15651,,DNA/RC
cg9313,,DNA/RC
cg15650,,DNA/RC
cg9344,,DNA
cg34115,,DNA
cg15649,,DNA
hbn,,DNA/RC
otp,,DNA
asrna:cr43160,antisense,DNA
cib2,Calcium and integrin binding family member,LTR/Gypsy
ipk1,Inositol phosphate kinase,LTR/Gypsy
insc,,DNA/RC
sktl,,DNA/RC
lncrna:cr44660,long non-coding,LINE
galla-1,,DNA/RC
exu,,DNA/RC
trna:thr-tgt-2-1,,DNA/RC
trna:thr-tgt-2-2,,DNA/RC
trna:thr-tgt-2-3,,DNA
sprt,,DNA
trna:thr-tgt-2-4,,DNA
gr47b,Gustatory receptor,LTR/Gypsy
san,separation,LTR/Gypsy
ix,,LTR/Gypsy
cg12384,,LTR/Gypsy
trna:sec-tca-1-1,,LTR/Gypsy
iotatry,,LTR/Gypsy
cg30031,,LTR/Gypsy
cg30025,,LTR/Gypsy
deltatry,,LTR/Gypsy
betatry,,LTR/Gypsy
epsilontry,,LTR/Gypsy
alphatry,,LTR/Gypsy
thetatry,,LTR/Gypsy
etatry,,LTR/Gypsy
zetatry,,LTR/Gypsy
tpnc47d,Troponin C at,DNA/MAVERICK
cpr47ef,Cuticular protein,DNA/MAVERICK
cpr47ee,Cuticular protein,DNA/MAVERICK
cpr47ed,Cuticular protein,DNA/MAVERICK
cpr47ec,Cuticular protein,DNA/MAVERICK
cg13223,,DNA/MAVERICK
cpr47ea,Cuticular protein,LINE/I
or47a,Odorant receptor,LINE/I
cg34227,,LINE/I
cg34225,,LINE/I
cg13226,,LINE/I
listericin,,LINE/I
cg13215,,LINE/I
cg13216,,LINE/I
cg34224,,LINE/I
cg13217,,DNA
cg13228,,DNA
cg13218,,DNA
metro,menage a,DNA
cg7737,,DNA
obp47a,Odorant-binding protein,DNA
dyb,,DNA/PIFHARBINGER
cg30334,,DNA/PIFHARBINGER
tmem18,Transmembrane protein,DNA/PIFHARBINGER
dubai,Deubiquitinating apoptotic,DNA/PIFHARBINGER
cg43204,,LINE/I
nup54,Nucleoporin,LINE/I
cg42700,,LTR
cam,,LTR
cg13168,,DNA
cg13170,,DNA
lncrna:cr44313,long non-coding,DNA
sr-cii,Scavenger receptor class C%2C type,DNA
lncrna:cr45276,long non-coding,DNA
smc2,Structural maintenance of chromosomes,DNA/RC
cg10209,,DNA/RC
